Date,CHRIS/ICE_BPB1,CHRIS/MX_SXH1,CHRIS/MGEX_IW1,CHRIS/ICE_P1,CHRIS/ICE_IW1,CHRIS/ICE_DW1,CHRIS/CME_RB31,CHRIS/MGEX_IC1,CHRIS/MGEX_IP1,CHRIS/MGEX_IS1,CHRIS/MX_CGZ1,CHRIS/CME_LB1,CHRIS/CME_IBV1,CHRIS/ICE_ZJ1,CHRIS/CME_NG31,CHRIS/ICE_AR1,CHRIS/CME_EH1,CHRIS/ICE_KRU1,CHRIS/ICE_SS1,CHRIS/MGEX_IH1,CHRIS/MX_SXM1,CHRIS/CME_NG41,CHRIS/CME_CI1,CHRIS/MX_SXA1,CHRIS/MX_LGB1,CHRIS/MX_SXB1,CHRIS/MX_SCF1,CHRIS/CME_RB21,CHRIS/MX_SXY1,CHRIS/ICE_Y1,CHRIS/ICE_MP1,CHRIS/ICE_NT1,CHRIS/CME_HG11,CHRIS/ICE_ZR1,CHRIS/ICE_SF1,CHRIS/CME_RR1,CHRIS/CME_DA1,CHRIS/CME_ED31,CHRIS/ICE_WA1
2004-10-21,,,,0.0,,,,,,,,581.0,,,,1.0,,,12.0,,,,,,,,,,,0.0,31.0,,4.0,667.0,,550.0,,0.0,
2004-10-22,,,,0.0,,,,,,,,614.0,,,,1.0,,,2.0,,,,,,,,,,,0.0,36.0,,4.0,81.0,,425.0,,0.0,
2004-10-25,,,,0.0,,,,,,,,679.0,,,,5.0,,,76.0,,,,,,,,,,,0.0,68.0,,0.0,500.0,,575.0,,0.0,
2004-10-26,,,,0.0,,,,,,,,547.0,,,,0.0,,,38.0,,,,,,,,,,,0.0,46.0,,0.0,462.0,,670.0,,0.0,
2004-10-27,,,,0.0,,,,,,,,458.0,,,,2.0,,,0.0,,,,,,,,,,,0.0,54.0,,2.0,71.0,,401.0,,0.0,
2004-10-28,,,,0.0,,,,,,,,507.0,,,1.0,1.0,,,36.0,,,,,,,,,,,20.0,36.0,,14.0,15.0,,304.0,,0.0,
2004-10-29,,,,0.0,,,,,,,,549.0,,,,23.0,,,0.0,,,,,,,,,,,0.0,50.0,,11.0,2.0,,41.0,,0.0,
2004-11-01,,,,0.0,,,,,,,,503.0,,,,0.0,,,784.0,,,,,,,,,,,0.0,12.0,,22.0,100.0,,218.0,,0.0,
2004-11-02,,,,0.0,,,,,,,,494.0,,,,0.0,,,13.0,,,,,,,,,,,0.0,42.0,,1.0,29.0,,113.0,,0.0,
2004-11-03,,,,0.0,,,,,,,,321.0,,,,0.0,,,73.0,,,,,,,,,,,0.0,24.0,,0.0,4.0,,34.0,,0.0,
